query_id,n_docs,missing,shallow
Q1_001,100,False,False
Q1_002,100,False,False
Q1_003,100,False,False
Q1_004,100,False,False
Q1_005,100,False,False
Q1_006,100,False,False
Q1_007,100,False,False
Q1_008,100,False,False
Q1_009,100,False,False
Q1_010,100,False,False
Q1_011,100,False,False
Q1_012,100,False,False
Q1_013,100,False,False
Q1_014,100,False,False
Q1_015,100,False,False
Q1_016,100,False,False
Q1_017,100,False,False
Q1_018,100,False,False
Q1_019,100,False,False
Q1_020,100,False,False
Q1_021,100,False,False
Q1_022,100,False,False
Q1_023,100,False,False
Q1_024,100,False,False
Q1_025,100,False,False
Q1_026,100,False,False
Q1_027,100,False,False
Q1_028,100,False,False
Q1_029,100,False,False
Q1_030,100,False,False
Q1_031,100,False,False
Q1_032,100,False,False
Q1_033,100,False,False
Q1_034,100,False,False
Q1_035,100,False,False
Q1_036,100,False,False
Q1_037,100,False,False
Q1_038,100,False,False
Q1_039,100,False,False
Q1_040,100,False,False
Q1_041,100,False,False
Q1_042,100,False,False
Q1_043,100,False,False
Q1_044,100,False,False
Q1_045,100,False,False
Q1_046,100,False,False
Q1_047,100,False,False
Q1_048,100,False,False
Q1_049,100,False,False
Q1_050,100,False,False
Q2_001,200,False,False
Q2_002,197,False,False
Q2_003,200,False,False
Q2_004,200,False,False
Q2_005,195,False,False
Q2_006,178,False,False
Q2_007,199,False,False
Q2_008,189,False,False
Q2_009,161,False,False
Q2_010,163,False,False
Q2_011,180,False,False
Q2_012,200,False,False
Q2_013,200,False,False
Q2_014,190,False,False
Q2_015,200,False,False
Q2_016,200,False,False
Q2_017,196,False,False
Q2_018,101,False,False
Q2_019,196,False,False
Q2_020,197,False,False
Q2_021,182,False,False
Q2_022,200,False,False
Q2_023,101,False,False
Q2_024,196,False,False
Q2_025,200,False,False
Q2_026,179,False,False
Q2_027,190,False,False
Q2_028,197,False,False
Q2_029,101,False,False
Q2_030,145,False,False
Q2_031,153,False,False
Q2_032,194,False,False
Q2_033,159,False,False
Q2_034,103,False,False
Q2_035,186,False,False
Q2_036,195,False,False
Q2_037,200,False,False
Q2_038,200,False,False
Q2_039,199,False,False
Q2_040,105,False,False
Q2_041,186,False,False
Q2_042,177,False,False
Q2_043,199,False,False
Q2_044,188,False,False
Q2_045,200,False,False
Q2_046,200,False,False
Q2_047,191,False,False
Q2_048,199,False,False
Q2_049,200,False,False
Q2_050,102,False,False
Q3_001,183,False,False
Q3_002,200,False,False
Q3_003,197,False,False
Q3_004,200,False,False
Q3_005,196,False,False
Q3_006,199,False,False
Q3_007,198,False,False
Q3_008,200,False,False
Q3_009,197,False,False
Q3_010,200,False,False
Q3_011,200,False,False
Q3_012,199,False,False
Q3_013,194,False,False
Q3_014,200,False,False
Q3_015,200,False,False
Q3_016,200,False,False
Q3_017,200,False,False
Q3_018,200,False,False
Q4_001,200,False,False
Q4_002,199,False,False
Q4_003,198,False,False
Q4_004,190,False,False
Q4_005,194,False,False
Q4_006,200,False,False
Q4_007,200,False,False
Q4_008,195,False,False
Q4_009,200,False,False
Q4_010,200,False,False
Q4_011,197,False,False
Q4_012,195,False,False
Q4_013,199,False,False
Q4_014,193,False,False
Q5_001,200,False,False
Q5_002,200,False,False
Q5_003,193,False,False
Q5_004,120,False,False
Q5_005,126,False,False
Q5_006,145,False,False
Q5_007,116,False,False
Q5_008,146,False,False
Q5_009,167,False,False
Q5_010,199,False,False
Q5_011,200,False,False
Q5_012,133,False,False
Q5_013,159,False,False
Q5_014,150,False,False
Q5_015,200,False,False
Q5_016,144,False,False
Q5_017,197,False,False
Q5_018,193,False,False
Q5_019,164,False,False
Q5_020,186,False,False
Q5_021,155,False,False
Q5_022,117,False,False
Q5_023,170,False,False
Q5_024,137,False,False
Q5_025,199,False,False
Q5_026,128,False,False
Q5_027,128,False,False
Q5_028,151,False,False
Q5_029,128,False,False
Q5_030,187,False,False
Q5_031,188,False,False
Q5_032,184,False,False
Q5_033,157,False,False
Q5_034,200,False,False
Q5_035,158,False,False
Q5_036,120,False,False
Q5_037,112,False,False
Q5_038,112,False,False
Q5_039,173,False,False
Q5_040,157,False,False
Q5_041,176,False,False
Q5_042,200,False,False
Q5_043,142,False,False
Q5_044,124,False,False
Q5_045,164,False,False
Q5_046,159,False,False
Q5_047,159,False,False
Q5_048,168,False,False
Q5_049,200,False,False
Q5_050,117,False,False
Q6_001,200,False,False
Q6_002,199,False,False
Q6_003,200,False,False
Q6_004,200,False,False
Q6_005,200,False,False
Q6_006,200,False,False
Q6_007,200,False,False
Q6_008,200,False,False
Q6_009,198,False,False
Q6_010,200,False,False
Q6_011,200,False,False
Q6_012,200,False,False
Q6_013,200,False,False
Q6_014,200,False,False
Q6_015,200,False,False
Q6_016,200,False,False
Q6_017,191,False,False
Q6_018,200,False,False
Q6_019,199,False,False
Q6_020,197,False,False
Q6_021,199,False,False
Q6_022,200,False,False
Q6_023,200,False,False
Q6_024,200,False,False
Q6_025,198,False,False
Q6_026,188,False,False
Q6_027,197,False,False
Q6_028,200,False,False
Q6_029,200,False,False
Q6_030,200,False,False
Q6_031,186,False,False
Q6_032,189,False,False
Q6_033,200,False,False
Q6_034,200,False,False
Q6_035,200,False,False
Q6_036,200,False,False
Q6_037,200,False,False
Q6_038,199,False,False
Q6_039,200,False,False
Q6_040,190,False,False
Q6_041,200,False,False
Q6_042,200,False,False
Q6_043,187,False,False
Q6_044,200,False,False
Q6_045,200,False,False
Q6_046,200,False,False
Q6_047,199,False,False
Q6_048,195,False,False
Q6_049,200,False,False
Q6_050,199,False,False
