query_id,query_type,precision@1,mrr,map,ndcg@10,recall@10,recall@20
Q1_001,1,0.0,0.0,0.0,,,
Q1_002,1,0.0,0.0,0.0,,,
Q1_003,1,0.0,0.0,0.0,,,
Q1_004,1,0.0,0.0,0.0,,,
Q1_005,1,0.0,0.0,0.0,,,
Q1_006,1,0.0,0.0,0.0,,,
Q1_007,1,0.0,0.0,0.0,,,
Q1_008,1,0.0,0.0,0.0,,,
Q1_009,1,0.0,0.0,0.0,,,
Q1_010,1,0.0,0.0,0.0,,,
Q1_011,1,0.0,0.0,0.0,,,
Q1_012,1,0.0,0.0,0.0,,,
Q1_013,1,0.0,0.0,0.0,,,
Q1_014,1,0.0,0.0,0.0,,,
Q1_015,1,0.0,0.0,0.0,,,
Q1_016,1,0.0,0.0,0.0,,,
Q1_017,1,0.0,0.0,0.0,,,
Q1_018,1,0.0,0.0,0.0,,,
Q1_019,1,0.0,0.0,0.0,,,
Q1_020,1,0.0,0.0,0.0,,,
Q1_021,1,0.0,0.0,0.0,,,
Q1_022,1,0.0,0.0,0.0,,,
Q1_023,1,0.0,0.0,0.0,,,
Q1_024,1,0.0,0.0,0.0,,,
Q1_025,1,0.0,0.0,0.0,,,
Q1_026,1,0.0,0.0,0.0,,,
Q1_027,1,0.0,0.0,0.0,,,
Q1_028,1,0.0,0.0,0.0,,,
Q1_029,1,0.0,0.0,0.0,,,
Q1_030,1,0.0,0.0,0.0,,,
Q1_031,1,0.0,0.0,0.0,,,
Q1_032,1,0.0,0.0,0.0,,,
Q1_033,1,0.0,0.0,0.0,,,
Q1_034,1,0.0,0.0,0.0,,,
Q1_035,1,0.0,0.0,0.0,,,
Q1_036,1,0.0,0.0,0.0,,,
Q1_037,1,0.0,0.0,0.0,,,
Q1_038,1,0.0,0.0,0.0,,,
Q1_039,1,0.0,0.0,0.0,,,
Q1_040,1,0.0,0.0,0.0,,,
Q1_041,1,0.0,0.0,0.0,,,
Q1_042,1,0.0,0.0,0.0,,,
Q1_043,1,0.0,0.0,0.0,,,
Q1_044,1,0.0,0.0,0.0,,,
Q1_045,1,0.0,0.0,0.0,,,
Q1_046,1,0.0,0.0,0.0,,,
Q1_047,1,0.0,0.0,0.0,,,
Q1_048,1,0.0,0.0105,0.0105,,,
Q1_049,1,0.0,0.0,0.0,,,
Q1_050,1,0.0,0.0,0.0,,,
Q2_001,2,1.0,1.0,1.0,,,
