query_id,doc_id,rank,rrf_score
Q1_001,ru-inn-773316924706,1,0.016393
Q1_001,ru-inn-910403751642,2,0.016129
Q1_001,ru-inn-182702375304,3,0.015873
Q1_001,ru-inn-890306982522,4,0.015625
Q1_001,ru-inn-770406595592,5,0.015385
Q1_001,ru-inn-503612612506,6,0.015152
Q1_001,ru-inn-672707738380,7,0.014925
Q1_001,ru-inn-381299609492,8,0.014706
Q1_001,ru-inn-590419366082,9,0.014493
Q1_001,ru-inn-770973994329,10,0.014286
Q1_001,ru-inn-170113593052,11,0.014085
Q1_001,ru-inn-772883582758,12,0.013889
Q1_001,ru-inn-772027052589,13,0.013699
Q1_001,ru-inn-773169193805,14,0.013514
Q1_001,ru-inn-672706116298,15,0.013333
Q1_001,ru-inn-773702561630,16,0.013158
Q1_001,ru-inn-504203277489,17,0.012987
Q1_001,ru-inn-773601519801,18,0.012821
Q1_001,ru-inn-502703592580,19,0.012658
Q1_001,ru-inn-890104025009,20,0.012500
Q1_001,ru-inn-773507242616,21,0.012346
Q1_001,ru-inn-504601641698,22,0.012195
Q1_001,ru-inn-761108668240,23,0.012048
Q1_001,ru-inn-770400575938,24,0.011905
Q1_001,ru-inn-911102170903,25,0.011765
Q1_001,ru-inn-772206447914,26,0.011628
Q1_001,ru-inn-090101511009,27,0.011494
Q1_001,ru-inn-323211448327,28,0.011364
Q1_001,ru-inn-524600969249,29,0.011236
Q1_001,ru-inn-503011195872,30,0.011111
Q1_001,ru-inn-590606948108,31,0.010989
Q1_001,ru-inn-860805957868,32,0.010870
Q1_001,ru-inn-781710693087,33,0.010753
Q1_001,ru-inn-550310321169,34,0.010638
Q1_001,ru-inn-290116620126,35,0.010526
Q1_001,ru-inn-212900299597,36,0.010417
Q1_001,ru-inn-772337800080,37,0.010309
Q1_001,ru-inn-370258613886,38,0.010204
Q1_001,ru-inn-772879074208,39,0.010101
Q1_001,ru-inn-770381319301,40,0.010000
Q1_001,ru-inn-770404768200,41,0.009901
Q1_001,ru-inn-263600399770,42,0.009804
Q1_001,ru-inn-503810093860,43,0.009709
Q1_001,ru-inn-771400250346,44,0.009615
Q1_001,ru-inn-920354118208,45,0.009524
Q1_001,ru-inn-504722963210,46,0.009434
Q1_001,ru-inn-090400513438,47,0.009346
Q1_001,ru-inn-631602965684,48,0.009259
Q1_001,ru-inn-602100808049,49,0.009174
Q1_001,ru-inn-212708330932,50,0.009091
Q1_001,ru-inn-780621561418,51,0.009009
Q1_001,ru-inn-503240053397,52,0.008929
Q1_001,ru-inn-773014127038,53,0.008850
Q1_001,ru-inn-342501138462,54,0.008772
Q1_001,ru-inn-081600111403,55,0.008696
Q1_001,ru-inn-744517851842,56,0.008621
Q1_001,ru-inn-254008448430,57,0.008547
Q1_001,ru-inn-502702848208,58,0.008475
Q1_001,ru-inn-614104026109,59,0.008403
Q1_001,ru-inn-503800680509,60,0.008333
Q1_001,ru-inn-770303184150,61,0.008264
Q1_001,ru-inn-390500121104,62,0.008197
Q1_001,ru-inn-344810730905,63,0.008130
Q1_001,ru-inn-773772140749,64,0.008065
Q1_001,ru-inn-772579389670,65,0.008000
Q1_001,ru-inn-930900510495,66,0.007937
Q1_001,ru-inn-501305194236,67,0.007874
Q1_001,ru-inn-780421663109,68,0.007812
Q1_001,ru-inn-771587175260,69,0.007752
Q1_001,ru-inn-772789939513,70,0.007692
Q1_001,ru-inn-781901467346,71,0.007634
Q1_001,ru-inn-770900278838,72,0.007576
Q1_001,ru-inn-250803738716,73,0.007519
Q1_001,ru-inn-694700001554,74,0.007463
Q1_001,ru-inn-890100430006,75,0.007407
Q1_001,ru-inn-623105838370,76,0.007353
Q1_001,ru-inn-911104128569,77,0.007299
Q1_001,ru-inn-782580315171,78,0.007246
Q1_001,ru-inn-773607805862,79,0.007194
Q1_001,ru-inn-366111780057,80,0.007143
Q1_001,ru-inn-461301196132,81,0.007092
Q1_001,ru-inn-500714374485,82,0.007042
Q1_001,ru-inn-525708871890,83,0.006993
Q1_001,ru-inn-773372686692,84,0.006944
Q1_001,ru-inn-332104315510,85,0.006897
Q1_001,ru-inn-771400999424,86,0.006849
Q1_001,ru-inn-910214776296,87,0.006803
Q1_001,ru-inn-694400705408,88,0.006757
Q1_001,ru-inn-774320957512,89,0.006711
Q1_001,ru-inn-772271212479,90,0.006667
Q1_001,ru-inn-503807788861,91,0.006623
Q1_001,ru-inn-772901869548,92,0.006579
Q1_001,ru-inn-263521515590,93,0.006536
Q1_001,ru-inn-910800057303,94,0.006494
Q1_001,ru-inn-421705800058,95,0.006452
Q1_001,ru-inn-503822643003,96,0.006410
Q1_001,ru-inn-591152892037,97,0.006369
Q1_001,ru-inn-772901522401,98,0.006329
Q1_001,ru-inn-594400487490,99,0.006289
Q1_001,ru-inn-742203383011,100,0.006250
Q1_002,Q16147614,1,0.016393
Q1_002,mx-dep-vazquez-calixto-javier-hidalgo,2,0.016129
Q1_002,Q2881251,3,0.015873
Q1_002,Q16187255,4,0.015625
Q1_002,Q16222519,5,0.015385
Q1_002,Q5923208,6,0.015152
Q1_002,mx-dep-jimenez-vasquez-naty-poob-pijy-oaxaca,7,0.014925
Q1_002,Q16612285,8,0.014706
Q1_002,Q19519043,9,0.014493
Q1_002,Q18211709,10,0.014286
Q1_002,Q6070344,11,0.014085
Q1_002,Q8069047,12,0.013889
Q1_002,mx-dep-vazquez-ruiz-miriam-de-los-angeles-oaxaca,13,0.013699
Q1_002,mx-dep-velazquez-vazquez-marcela-michoacan,14,0.013514
Q1_002,mx-dep-vazquez-conchas-raymundo-tlaxcala,15,0.013333
Q1_002,Q7680951,16,0.013158
Q1_002,Q18704854,17,0.012987
Q1_002,Q17181046,18,0.012821
Q1_002,Q134979666,19,0.012658
Q1_002,Q18688028,20,0.012500
Q1_002,Q16205335,21,0.012346
Q1_002,Q6407151,22,0.012195
Q1_002,Q19518754,23,0.012048
Q1_002,mx-dep-vazquez-jimenez-alonso-de-jesus-jalisco,24,0.011905
Q1_002,Q18209665,25,0.011765
Q1_002,Q86004010,26,0.011628
Q1_002,cuinv-f3e10f6882c5108e41b60dd5707bf1f116a4edbc,27,0.011494
Q1_002,Q11897937,28,0.011364
Q1_002,Q2405299,29,0.011236
Q1_002,Q138679767,30,0.011111
Q1_002,Q20016685,31,0.010989
Q1_002,Q61989772,32,0.010870
Q1_002,Q19519109,33,0.010753
Q1_002,Q3391011,34,0.010638
Q1_002,Q124795277,35,0.010526
Q1_002,Q65163966,36,0.010417
Q1_002,Q3390985,37,0.010309
Q1_002,Q14528683,38,0.010204
Q1_002,Q18377951,39,0.010101
Q1_002,Q5747445,40,0.010000
Q1_002,Q16186819,41,0.009901
Q1_002,Q19518728,42,0.009804
Q1_002,Q7821220,43,0.009709
Q1_002,mx-dep-azuara-zuniga-david-san-luis-potosi,44,0.009615
Q1_002,Q18351867,45,0.009524
Q1_002,Q101479280,46,0.009434
Q1_002,Q16193887,47,0.009346
Q1_002,Q11682265,48,0.009259
Q1_002,Q107198460,49,0.009174
Q1_002,Q16240620,50,0.009091
Q1_002,Q19518912,51,0.009009
Q1_002,Q18685521,52,0.008929
Q1_002,Q104530849,53,0.008850
Q1_002,Q18637824,54,0.008772
Q1_002,Q96065958,55,0.008696
Q1_002,Q13560935,56,0.008621
Q1_002,Q6066619,57,0.008547
Q1_002,Q19518977,58,0.008475
Q1_002,Q6165532,59,0.008403
Q1_002,Q6125999,60,0.008333
Q1_002,Q116841322,61,0.008264
Q1_002,Q8064003,62,0.008197
Q1_002,Q59560617,63,0.008130
Q1_002,Q111516818,64,0.008065
Q1_002,Q65165383,65,0.008000
Q1_002,Q57585925,66,0.007937
Q1_002,Q111518049,67,0.007874
Q1_002,Q111516915,68,0.007812
Q1_002,Q18686524,69,0.007752
Q1_002,Q65430971,70,0.007692
Q1_002,Q3391394,71,0.007634
Q1_002,Q18683847,72,0.007576
Q1_002,Q5971654,73,0.007519
Q1_002,Q16194076,74,0.007463
Q1_002,Q110094073,75,0.007407
Q1_002,Q19519259,76,0.007353
Q1_002,Q19666597,77,0.007299
Q1_002,Q5920110,78,0.007246
Q1_002,Q3163141,79,0.007194
Q1_002,Q7817281,80,0.007143
Q1_002,Q60967273,81,0.007092
Q1_002,Q16887084,82,0.007042
Q1_002,mx-dep-vasquez-hernandez-eva-maria-baja-california,83,0.006993
Q1_002,Q19519054,84,0.006944
Q1_002,Q62170376,85,0.006897
Q1_002,Q59594277,86,0.006849
Q1_002,Q18685580,87,0.006803
Q1_002,Q14093996,88,0.006757
Q1_002,Q5420015,89,0.006711
Q1_002,Q1396178,90,0.006667
Q1_002,Q20908844,91,0.006623
Q1_002,Q116814003,92,0.006579
Q1_002,Q19878375,93,0.006536
Q1_002,Q16200684,94,0.006494
Q1_002,Q111516964,95,0.006452
Q1_002,Q107585993,96,0.006410
Q1_002,Q18351864,97,0.006369
Q1_002,Q19518973,98,0.006329
Q1_002,Q17180978,99,0.006289
Q1_002,Q5928068,100,0.006250
Q1_003,NK-dvYp2dfnBgDoP9mPA7mfCW,1,0.016393
Q1_003,us-fed-excl-ellis-bowers-pummell-94553-martinez,2,0.016129
Q1_003,NK-jRzsZYgZnynJ4gmZqoJWMb,3,0.015873
Q1_003,us-fed-excl-dewey-o-mays-45406-dayton,4,0.015625
Q1_003,us-fed-excl-pearley-glenn-gable-43232-columbus,5,0.015385
Q1_003,us-fed-excl-weldon-eugene-burden-23320-chesapeake,6,0.015152
Q1_003,us-medca-1810cc1ecc9a9f15f6e251f2b3c7bcad8a8c9464,7,0.014925
Q1_003,NK-doSQZyjNgToRubyFMHYw5R,8,0.014706
Q1_003,us-fed-excl-chester-louis-lacquement-73108-oklahoma-city,9,0.014493
Q1_003,us-fed-excl-percy-jones-32746-lake-mary,10,0.014286
Q1_003,NK-9FAmhAFe2AnDRwN9A5MNdt,11,0.014085
Q1_003,us-medpa-94e0d766deca23fe5cbd52196ee72c0003347a0a,12,0.013889
Q1_003,NK-H4wKP6cRVvS8LSg5XmJfd6,13,0.013699
Q1_003,NK-d3cXEktYP2yqxCQ3pk3vsD,14,0.013514
Q1_003,us-fed-excl-deothron-lamar-clay-32443-greenwood,15,0.013333
Q1_003,NK-R9AAXToRUwFNtGdXM8TvDt,16,0.013158
Q1_003,us-fed-excl-perry-thomas-williams-68114-omaha,17,0.012987
Q1_003,us-fed-excl-a-james-whitmore-70128-new-orleans,18,0.012821
Q1_003,us-fed-excl-james-jolly-johnson-iii-32025-lake-city,19,0.012658
Q1_003,NK-EeLgXTmQpnVmP4iY7fimWS,20,0.012500
Q1_003,us-fed-excl-peter-clifford-snyder-iii-21811-berlin,21,0.012346
Q1_003,us-fed-excl-willie-orlando-lawton-98240-custer,22,0.012195
Q1_003,NK-mjgviwpNGrU8uxDHKcV4ya,23,0.012048
Q1_003,NK-EVo92vmEn8ruGujGAWpMYv,24,0.011905
Q1_003,NK-atM8KDQ35JrEzjQKydjt3i,25,0.011765
Q1_003,us-fed-excl-eugene-m-landrum-60657-chicago,26,0.011628
Q1_003,us-fed-excl-alvin-watts-iii-71463-oakdale,27,0.011494
Q1_003,us-fed-excl-lloyd-j-blakeman-iii-60464-palos-park,28,0.011364
Q1_003,us-fed-excl-jackson-preston-siples-iii-62959-marion,29,0.011236
Q1_003,NK-oA3qLFgzDYHgQidzFggcUg,30,0.011111
Q1_003,us-fed-excl-lawson-h-myers-42001-paducah,31,0.010989
Q1_003,us-medde-d7b0216118c33dd2b8f3335aebaa8a9c4cc4d47a,32,0.010870
Q1_003,NK-jcEGJjTG6aYMdAxMASUQjb,33,0.010753
Q1_003,NK-BRAD9pMfDupmutuDWHR9vu,34,0.010638
Q1_003,us-fed-excl-william-e-moseley-37172-springfield,35,0.010526
Q1_003,us-fed-excl-cliff-lowden-murray-92626-costa-mesa,36,0.010417
Q1_003,NK-naYk6hhdXLbTQNehKDXruv,37,0.010309
Q1_003,us-fed-excl-lawrence-ray-flemons-68111-omaha,38,0.010204
Q1_003,NK-38imRCStYjeMgk7ZVfYMu9,39,0.010101
Q1_003,NK-ZTLqJyspqDcf8wuKrcWouN,40,0.010000
Q1_003,NK-C22LXaD8jq6r4YwpLhZojS,41,0.009901
Q1_003,us-fed-excl-hubert-wesley-morrow-75092-sherman,42,0.009804
Q1_003,us-fed-excl-james-albert-wright-iii-32814-orlando,43,0.009709
Q1_003,us-fed-excl-james-edward-kelly-iii-32277-jacksonville,44,0.009615
Q1_003,us-fed-excl-cecil-bryon-knox-24019-roanoke,45,0.009524
Q1_003,NK-V3MtRCetkeM7YWY5bPpGkP,46,0.009434
Q1_003,us-medca-de2e3860bfd74908785c6384035644acadde3b15,47,0.009346
Q1_003,us-fed-excl-wallace-james-pickett-32720-lake-mark,48,0.009259
Q1_003,us-fed-excl-randy-lewis-laukhuff-71301-alexandria,49,0.009174
Q1_003,NK-2NPVmiTa99mPJLCveo2j9v,50,0.009091
Q1_003,NK-cZ5sV4ocg6QbiU9TjdxjHM,51,0.009009
Q1_003,us-fed-excl-eddieson-igtiben-legasp-iiii-93640-mendota,52,0.008929
Q1_003,NK-KTyp8kfEodjM9Q6o7pVrot,53,0.008850
Q1_003,us-fed-excl-winfield-scott-hancock-34480-ocala,54,0.008772
Q1_003,NK-hfVkds3NTcsViJNVKFp9sj,55,0.008696
Q1_003,us-fed-excl-william-bruce-earl-iii-33426-boynton-beach,56,0.008621
Q1_003,NK-MHo5nMjhWDybHcfDTLZQac,57,0.008547
Q1_003,us-fed-excl-william-h-w-pote-92354-loma-linda,58,0.008475
Q1_003,NK-8VHaiXtBB66RdkZpaexNvm,59,0.008403
Q1_003,us-fed-excl-colonel-henry-yarboro-43223-columbus,60,0.008333
Q1_003,NK-C2wnswaDrKMW5tcwjw6Voy,61,0.008264
Q1_003,NK-Mrop4YUpZtKvZYNWisJkDr,62,0.008197
Q1_003,us-fed-excl-david-willie-mays-43301-marion,63,0.008130
Q1_003,us-fed-excl-thomas-kelley-ballard-iii-71463-oakdale,64,0.008065
Q1_003,NK-KeXNLNKJRxYiqNsBV8x6T4,65,0.008000
Q1_003,us-medde-50f5aa0707b3cf92e940da32b6f998945cb96a69,66,0.007937
Q1_003,us-fed-excl-andrew-jackson-welch-iii-89113-las-vegas,67,0.007874
Q1_003,us-fed-excl-peter-alba-trice-35405-tuscaloosa,68,0.007812
Q1_003,NK-TredUp5qPXTz7VGs5MJzMz,69,0.007752
Q1_003,us-medal-1ed00a6f9af1635b3291706a564b46f0e004495c,70,0.007692
Q1_003,us-fed-excl-william-franklin-bentley-98272-monroe,71,0.007634
Q1_003,us-medmn-420b6ca5dc82e08f2652ae3454099369d1e2e827,72,0.007576
Q1_003,us-fed-excl-milton-n-goode-11550-hempstead,73,0.007519
Q1_003,NK-BdoLGZbHgtXZhRpfehSfJ4,74,0.007463
Q1_003,NK-kfKL5S2jErGVUkPcFYC4kg,75,0.007407
Q1_003,NK-FrYKYSRTcuZRsgupxfPLYL,76,0.007353
Q1_003,NK-VujUGApBpXbyyaNKrKJuqx,77,0.007299
Q1_003,us-fed-excl-harry-w-greenough-99508-anchorage,78,0.007246
Q1_003,us-fed-excl-paul-winston-fulbright-yu-92262-palm-springs,79,0.007194
Q1_003,us-fed-excl-william-f-ward-19401-norristown,80,0.007143
Q1_003,us-fed-excl-george-mack-bird-iii-29824-edgefield,81,0.007092
Q1_003,us-fed-excl-james-d-moose-23324-chesapeake,82,0.007042
Q1_003,us-fed-excl-alvin-f-ponder-11235-brooklyn,83,0.006993
Q1_003,us-fed-excl-william-clyde-baker-37660-kingsport,84,0.006944
Q1_003,us-fed-excl-alonzo-peters-77221-houston,85,0.006897
Q1_003,us-medca-b7c03b9e504b614f540e4aa7ae55211d4a3c97fa,86,0.006849
Q1_003,us-fed-excl-ernest-lee-holmes-36092-wetumpka,87,0.006803
Q1_003,NK-ZqYPZHTM9yY2tth7DZEf4X,88,0.006757
Q1_003,us-fed-excl-wallace-triplett-60643-chicago,89,0.006711
Q1_003,us-fed-excl-weldon-a-young-30080-smyrna,90,0.006667
Q1_003,NK-Dhu7wvJ2di2j8BN9bGuGKa,91,0.006623
Q1_003,NK-NL2dTEDzWCnnS9JeFDHb9M,92,0.006579
Q1_003,us-fed-excl-john-bullock-63125-st-louis,93,0.006536
Q1_003,us-medca-0a4a262735f1a636823492e8ee61d9af810e6517,94,0.006494
Q1_003,NK-QYnn5TDkmvmmYu4iepxpGU,95,0.006452
Q1_003,us-fed-excl-huey-pierce-williams-77720-beaumont,96,0.006410
Q1_003,us-fed-excl-ernest-p-panza-23185-williamsburg,97,0.006369
Q1_003,NK-FYEhrZjh7fzMQMnnsh3Vc9,98,0.006329
Q1_003,us-fed-excl-james-e-kirkpatrick-26507-morgantown,99,0.006289
Q1_003,NK-baf3fQshbYc72RZjg5KY3Y,100,0.006250
Q1_004,usgsa-s4mrxd5fd,1,0.016393
Q1_004,usgsa-s4mrxd5f7,2,0.016129
Q1_004,us-fed-excl-lonnie-w-jolson-32060-live-oak,3,0.015873
Q1_004,usgsa-s4mrxd5f8,4,0.015625
Q1_004,us-fed-excl-russell-victor-pacewicz-02150-chelsea,5,0.015385
Q1_004,usgsa-s4mrxd5ff,6,0.015152
Q1_004,us-fed-excl-lawrence-watson-61603-peoria,7,0.014925
Q1_004,usgsa-s4mrxd5d9,8,0.014706
Q1_004,usgsa-s4mrvttvl,9,0.014493
Q1_004,usgsa-s4mrxd637,10,0.014286
Q1_004,us-fed-excl-joyce-williams-14616-rochester,11,0.014085
Q1_004,usgsa-s4mrxd5d3,12,0.013889
Q1_004,NK-hNZKocCmR7JuZbfkEXrmas,13,0.013699
Q1_004,usgsa-s4mrxd5ln,14,0.013514
Q1_004,us-fed-excl-paul-w-williams-70541-grand-coteau,15,0.013333
Q1_004,usgsa-s4mrxd5k6,16,0.013158
Q1_004,usgsa-s4mrvttln,17,0.012987
Q1_004,NK-iUuVHdY8oPkpcPSja93jzB,18,0.012821
Q1_004,NK-inpxHYtkCknETJzkDLtuad,19,0.012658
Q1_004,us-fed-excl-james-leon-waters-30342-atlanta,20,0.012500
Q1_004,NK-PAGZpTUYdo9yvTyEhCDqe3,21,0.012346
Q1_004,usgsa-s4mrxd5lz,22,0.012195
Q1_004,usgsa-s4mrxd5gz,23,0.012048
Q1_004,us-fed-excl-leland-j-sarrell-30143-jasper,24,0.011905
Q1_004,us-fed-excl-william-j-leonhard-48439-grand-blanc,25,0.011765
Q1_004,usgsa-s4mrvttt3,26,0.011628
Q1_004,NK-6MUnDVSUYHckpEBGjiscN4,27,0.011494
Q1_004,NK-fTcBeoUqLJ2JKErvUX9RHk,28,0.011364
Q1_004,NK-8VHaiXtBB66RdkZpaexNvm,29,0.011236
Q1_004,us-fed-excl-welburne-dewitt-johnson-38501-cookeville,30,0.011111
Q1_004,usgsa-s4mr4jhhx,31,0.010989
Q1_004,NK-hBJasfaj22aAXR6bwyqT4V,32,0.010870
Q1_004,us-fed-excl-donald-joseph-purcell-94558-napa,33,0.010753
Q1_004,NK-2DUJwuvGtXwSBzuQJKbvNe,34,0.010638
Q1_004,usgsa-s4mrxd5d4,35,0.010526
Q1_004,us-medca-7f9d919ea9d16cd221fc17cc6ee68a7bf1acf2fc,36,0.010417
Q1_004,us-fed-excl-william-p-moroney-94403-san-mateo,37,0.010309
Q1_004,us-fed-excl-leon-patrick-weathersby-92127-san-diego,38,0.010204
Q1_004,us-medde-3e2fe14331635cc6f79ddae30f3d2ea6ed6f60d6,39,0.010101
Q1_004,us-fed-excl-charles-leslie-whitney-92869-orange,40,0.010000
Q1_004,NK-mFzqmF9oAXY8LAjcgzD4Vz,41,0.009901
Q1_004,us-fed-excl-lyndon-thomas-williams-78723-austin,42,0.009804
Q1_004,NK-PQ8eN8isJCGH3SFfBAB7Rd,43,0.009709
Q1_004,us-fed-excl-harvey-bowen-leslie-sr-30294-ellenwood,44,0.009615
Q1_004,usgsa-s4mrxd63l,45,0.009524
Q1_004,usgsa-s4mrxd5lc,46,0.009434
Q1_004,us-fed-excl-daniel-joseph-leslie-ii-48131-dundee,47,0.009346
Q1_004,NK-WDdSn5nKFmzfiTZPBEkrfB,48,0.009259
Q1_004,NK-KjHqbv9a2rJiNQY6smSDne,49,0.009174
Q1_004,usgsa-s4mrvttn4,50,0.009091
Q1_004,us-fed-excl-cosmos-nelo-george-ii-48076-southfield,51,0.009009
Q1_004,NK-nT4QTJ5e9fq4xzZiRoDbD2,52,0.008929
Q1_004,us-medwy-a372b3ce4472780bb72b02f399b32a0050c0d6b7,53,0.008850
Q1_004,usgsa-s4mrxd5d8,54,0.008772
Q1_004,us-medde-9e73040cefe897f9567e5ee10293db0bb308efb2,55,0.008696
Q1_004,us-fed-excl-lamon-donell-easely-77705-beaumont,56,0.008621
Q1_004,us-fed-excl-william-mansur-hoyt-80128-littleton,57,0.008547
Q1_004,NK-bQSZW7tZqWQwro7YqG8GAx,58,0.008475
Q1_004,NK-jRzsZYgZnynJ4gmZqoJWMb,59,0.008403
Q1_004,us-fed-excl-everett-lionel-ashby-33612-tampa,60,0.008333
Q1_004,NK-A89iPLK4Wb2xiaMdxBWb7L,61,0.008264
Q1_004,NK-TredUp5qPXTz7VGs5MJzMz,62,0.008197
Q1_004,NK-6yCmrctF85PWB4MhqMV9rs,63,0.008130
Q1_004,us-fed-excl-leoncio-jose-alayon-27509-butner,64,0.008065
Q1_004,us-fed-excl-eugene-john-lewis-jr-16233-leeper,65,0.008000
Q1_004,NK-MN2Z97RffHcFv782z6LvfF,66,0.007937
Q1_004,NK-9hAReUydyr3vbTJpBFre9H,67,0.007874
Q1_004,us-fed-excl-osborne-patrick-wallace-77053-houston,68,0.007812
Q1_004,us-fed-excl-homer-lee-pickles-75050-grand-praire,69,0.007752
Q1_004,us-fed-excl-donovan-davis-washington-ii-33431-boca-raton,70,0.007692
Q1_004,us-fed-excl-anthony-wayne-joyner-27534-goldsboro,71,0.007634
Q1_004,usgsa-s4mrxd5df,72,0.007576
Q1_004,us-fed-excl-william-mckinley-corson-82426-greybull,73,0.007519
Q1_004,usgsa-s4mrxd5gp,74,0.007463
Q1_004,usgsa-s4mrxd5dx,75,0.007407
Q1_004,usgsa-s4mrxd63w,76,0.007353
Q1_004,us-medpa-cc83fdadcf669332d4fe96dd42c930679cf0b746,77,0.007299
Q1_004,us-fed-excl-james-edwin-lyons-48160-milan,78,0.007246
Q1_004,us-fed-excl-james-pendleton-94568-dublin,79,0.007194
Q1_004,NK-cwbWKhiDsBMQMc2qpeJBxV,80,0.007143
Q1_004,NK-j9kzRYcRFcapHXbC6JTDkB,81,0.007092
Q1_004,us-fed-excl-johnny-r-wooley-90805-long-beach,82,0.007042
Q1_004,NK-7XB2uXMR3whvnD7b6qMqzY,83,0.006993
Q1_004,us-fed-excl-jerry-wayne-wilkerson-32258-jacksonville,84,0.006944
Q1_004,us-fed-excl-william-w-burney-67214-wichita,85,0.006897
Q1_004,NK-hnMB7VrK8aau5tdJAMkb3o,86,0.006849
Q1_004,us-fed-excl-james-p-williams-53218-milwaukee,87,0.006803
Q1_004,NK-ZMFmwed6FdQXjFWkZxDyyP,88,0.006757
Q1_004,us-fed-excl-lawerence-vance-davis-77720-beaumont,89,0.006711
Q1_004,us-fed-excl-lawrence-lee-cockerille-44253-litchfield,90,0.006667
Q1_004,us-medpa-8d9dd5c03fb4d5b946ba177cfe43312f7076fcfd,91,0.006623
Q1_004,NK-dJ7NvJEwLDLBTij5pWHBmf,92,0.006579
Q1_004,us-fed-excl-jessica-warren-mcclatchy-56537-fergus-falls,93,0.006536
Q1_004,usgsa-s4mrxd5gy,94,0.006494
Q1_004,us-fed-excl-ronald-p-cunningham-77047-houston,95,0.006452
Q1_004,NK-CkhabpPKCVnFGoWdL3Aist,96,0.006410
Q1_004,NK-6FumWLsQNi6B4rgxVZuhaJ,97,0.006369
Q1_004,us-fed-excl-lawrence-duane-andrist-60123-elgin,98,0.006329
Q1_004,NK-jh24F9jUFtqErWn9yuEEdH,99,0.006289
Q1_004,us-fed-excl-donnie-lewis-72104-malvern,100,0.006250
Q1_005,rwre-1g715qwrabmahnuxrzuec9epjdfwvnufwq,1,0.016393
Q1_005,rwre-1g3856jhubetvcfhbnqzfxyhgkdh2owagv,2,0.016129
Q1_005,rwre-1g6252igt5uwhk11gua8zifp253d92xv7p,3,0.015873
Q1_005,rwre-1gbfr5spbzd1gy6evsxprzj1mbkc7kj3sg,4,0.015625
Q1_005,rwre-1gjoxmrdg6jfmbc7bt4wzkvdtphftabozb,5,0.015385
Q1_005,rwre-1g4ataxwojdmvnlg6v6wfhuouagsrwptpy,6,0.015152
Q1_005,rwre-1g1jzoqdouyj4qvtaqom2gvz1qagm332ve,7,0.014925
Q1_005,rwre-1gixnpx9xkdibovjsaxs4ezsdut9zarhan,8,0.014706
Q1_005,rwre-1gdu46tuxo16zppj3m7mjkwm7qec5jaamw,9,0.014493
Q1_005,rwre-1grf1fhylvu88fbafqovntz1ty4szbnv6y,10,0.014286
Q1_005,rwre-1g1ehlmvcfcgmm5zqeueh12manwhemp9vx,11,0.014085
Q1_005,rwre-1gqggeazqojcyybperywb1hqft1wgpcpej,12,0.013889
Q1_005,rwre-1g8p72ddkm9souvcqot4rtyj3skm9gifjw,13,0.013699
Q1_005,rwre-1q1gopivus1ybwmzx3b1evukd6nlazcfhx,14,0.013514
