query_id,query_type,doc_id,rank,tfidf_score
Q2_001,2,NK-223CQDBzp8MRkdJMDiqXn3,1,0.576389836
Q2_001,2,ng-chip-pep-ng-0024972,2,0.489026673
Q2_001,2,ng-chip-pep-ng-0008879,3,0.489026673
Q2_001,2,sg-gov-ad41e9222da6e0dd0f7a92688e45379d400f4dab,4,0.386941702
Q2_001,2,Q123924753,5,0.359337527
Q2_001,2,NK-nfoHimqQUae2ymntP5t9a6,6,0.348307558
Q2_001,2,ng-chip-pep-ng-0011482,7,0.338934051
Q2_001,2,ng-chip-pep-ng-0007724,8,0.338934051
Q2_001,2,sg-gov-88cab5ef8c9438131446741a41153b2b81af9028,9,0.327867748
Q2_001,2,sg-gov-a906959226e155b884359306e7d0be2ca39097c4,10,0.324742092
Q2_001,2,ng-chip-pep-ng-0010089,11,0.322581780
Q2_001,2,NK-JxNbJAzSJdFRf6HN8PSibx,12,0.320215050
Q2_001,2,ch-finmawa-smart-finances,13,0.312699257
Q2_001,2,ng-chip-pep-ng-0022592,14,0.309673024
Q2_001,2,Q75989778,15,0.295863994
Q2_001,2,sg-gov-bf1446d5341f2296e83e3c7aba6f2ccd1290c06b,16,0.290936608
Q2_001,2,us-medca-d99acfa71ed4f699da430c77d4b4e8e6c7ae3292,17,0.288652342
Q2_001,2,c4-fv-d1b5fbd807a3ccda47efc8f987cb25bcd242d29c,18,0.287861529
Q2_001,2,sg-gov-ada5115aa1ce9d843bcc1770bc7b3c1d0af11eb4,19,0.287668548
Q2_001,2,ng-chip-pep-ng-0015165,20,0.283908603
Q2_001,2,in-nse-deb-139295550b97a2a7c474be196ede6e340f74e7b5,21,0.283588493
Q2_001,2,us-bis-oac-6ce5ac0403014d21a1764a666f17580a502f1982,22,0.282549871
Q2_001,2,sg-gov-b603126dafbb5bd0d140648ae305518568893127,23,0.280397766
Q2_001,2,ch-finmawa-smart-choices,24,0.280201783
Q2_001,2,gb-nca-pr-f7709563dacb6d523edfeac936e9afbc3e646ee5,25,0.277044257
Q2_001,2,si-conflicts-a0af732794c201d0bf9e56a2df3425417e2a33ee,26,0.276765176
Q2_001,2,in-nse-deb-d4cf359617bce7fdb6a7ea30f0710d8a164e1d98,27,0.276709267
Q2_001,2,us-fed-excl-sheri-a-smart-12901-plattsburgh,28,0.274277906
Q2_001,2,sg-gov-96d1eeb926d47ec83b691db3f748086f517a9a4d,29,0.272331836
Q2_001,2,Q131344484,30,0.272013714
Q2_001,2,ch-finmawa-consen-smart,31,0.267432406
Q2_001,2,NK-eMctTHz2VCPE4uPvCLmmJQ,32,0.266615087
Q2_001,2,c4-fv-a90575b7047d75b5e98a7eb59d37604a67a73782,33,0.266164111
Q2_001,2,ch-finmawa-fsm-smart-limited,34,0.265831259
Q2_001,2,ph-sec-adv-2c2a8dc7da015acd00230cc80797bd137c2f0086,35,0.259832093
Q2_001,2,NK-esbvRXmHmBQrHU4KELgCM9,36,0.259707331
Q2_001,2,us-medny-4c46fa5396b57bcb4b49b78a5e2a07e0214b4a17,37,0.259125604
Q2_001,2,usplum-78d87ffd1835245dca7d8e17c2eb2f65ff1b9d06,38,0.256410741
Q2_001,2,Q64853661,39,0.255136282
Q2_001,2,NK-92WtYTQ7GcdtAi2kEqswyV,40,0.253330910
Q2_001,2,NK-cgzMRVg2mthpJgrrLLs5f8,41,0.252006904
Q2_001,2,sg-gov-cbaa09131911c5189420592a84eead6f05ed4156,42,0.247688249
Q2_001,2,my-ale-adfc0ef8857d1ef32d2980eeaa0ed71954ee424b,43,0.247537761
Q2_001,2,NK-DuRF7prjE99dCWfRXH3WEu,44,0.244700256
Q2_001,2,c4-fv-46372dd071b3a8a3f92d9d851fc5ed118f25ed96,45,0.241172550
Q2_001,2,ch-finmawa-smart-financial-edge-switzerland-ag,46,0.236495465
Q2_001,2,us-sec-pause-7effab0a42bc2e420f5fc0c6c60f298f1ac758be,47,0.235876709
Q2_001,2,ng-dots-smart-tonye-adoki-district-rivers,48,0.235543458
Q2_001,2,sg-gov-2cc80f01a1bdde3a3751fe61697fadfed4e5ca80,49,0.234626568
Q2_001,2,us-sec-pause-d0ca29f0e61c58098911d2082a57d71a1f9655f7,50,0.234244711
Q2_001,2,NK-XxunPgkTWekE3yNn9npB3h,51,0.233978618
Q2_001,2,shu-xj-069e26559f8e1c2c2d994880f48f783bbe6a7dff,52,0.233836764
Q2_001,2,NK-AqarzsnriQpncBi8bf7ecQ,53,0.232983256
Q2_001,2,sg-gov-fa9abf7d309c647e9879b818e1e1791ca98a7b16,54,0.229616667
Q2_001,2,ir-br-co-b0dd0e6c21e279e20989cb395b06c162965bcd22,55,0.227882657
Q2_001,2,Q48651580,56,0.227424945
Q2_001,2,ch-finmawa-smart-vision-finance-sma-vifi-com,57,0.227073346
Q2_001,2,shu-xj-45ff2ec95b97e96c6e3e2674ed1ea1c0ab4fbc6e,58,0.227007507
Q2_001,2,si-conflicts-949b229bf8974eb96158a82bdf06432f44eed046,59,0.222002233
Q2_001,2,us-medtx-57c9b601a35b942ee3ee5df634390357d7ab9046,60,0.221989497
Q2_001,2,us-fed-excl-patricia-l-smart-01843-lawrence,61,0.221367073
Q2_001,2,Q131161032,62,0.220633006
Q2_001,2,NK-HJw4Gx88kuRpe6Bex8dDA4,63,0.220510758
Q2_001,2,Q131705974,64,0.218417915
Q2_001,2,tw-shtc-917d02b94ed2a4b777057d2b0a8b7e13a1e9ac5a,65,0.217640728
Q2_001,2,my-inval-ff7644386404c8b7983e3ccb0b022315d65a935f,66,0.217289827
Q2_001,2,NK-mCDwCPpYwSoDVi8ESSt7p9,67,0.216437679
Q2_001,2,au-bfspon-14626d6ca2c1c035df05fd0656e37a0ccf9d229a,68,0.215852697
Q2_001,2,my-inval-058cb5547d5bb5a3e6c297ca005994fca70fad92,69,0.215426305
Q2_001,2,my-inval-9a278175b663d06b278a6d7028c3b3329a10f4f4,70,0.215111265
Q2_001,2,isin-RU000A104JJ8,71,0.214525832
Q2_001,2,sg-gov-96ee2ba70444ff154e5bc53a8b263ca666e9dff5,72,0.214490185
Q2_001,2,sg-gov-3f3c90f7deb00b3cdc5082c7169000833d2f87cc,73,0.214490185
Q2_001,2,sg-gov-5ebfc7d0ccd156ed205c973919e8fca4c91d385f,74,0.214115159
Q2_001,2,us-fed-excl-kristal-smart-46036-elwood,75,0.212197578
Q2_001,2,my-inval-b0747ff2ec73c0a973a67fe63a6fd3c32fc571e5,76,0.211946761
Q2_001,2,us-sec-pause-3f5b7ff743acffb54d3fbbb83942c5331da3b565,77,0.211239459
Q2_001,2,in-nse-deb-fcf42562b2975b17e0f5a86516e908561f1d5626,78,0.210502301
Q2_001,2,NK-ijkCVEoTWWzWz4E7pfZPTd,79,0.210442457
Q2_001,2,Q137971595,80,0.210180916
Q2_001,2,my-ale-935e4cde0be9b197b3377b4b7d28a6b4284375b7,81,0.209991460
Q2_001,2,my-inval-47d0de23d4cf559d88a8b4ffb1e5921cc91d12db,82,0.209631030
Q2_001,2,in-nse-deb-6529b6b37b71d04711096c8d4c62be0b4a7d9f97,83,0.209509369
Q2_001,2,Q7543924,84,0.209100126
Q2_001,2,gem-own-e100001016281,85,0.208972494
Q2_001,2,ch-finmawa-smart-trade-group,86,0.208294670
Q2_001,2,si-conflicts-065161440ca546487a9df599ad3cd38bde5a22c6,87,0.208184075
Q2_001,2,my-inval-10cc094a317376fd9e1c1b0bb1bc5446c8d8e544,88,0.207349371
Q2_001,2,NK-8mimyepLwAYzaoTKVGoK5N,89,0.207055919
Q2_001,2,in-nse-deb-15db502184df375fd1bc065598640cbcff4fdf23,90,0.205951602
Q2_001,2,NK-UWSFSh4PhRkzZfE8khFLZJ,91,0.205699259
Q2_001,2,si-conflicts-f97e926cc9357e2e3326aac84c541d39bfe44b05,92,0.204855906
Q2_001,2,us-fed-excl-smart-therapy-center-llc-55408-minneapolis,93,0.204643794
Q2_001,2,Q16751048,94,0.203392028
Q2_001,2,NK-jPypN2qKUSRZCurZkaJMQk,95,0.203267666
Q2_001,2,us-cftc-3270007bf8dfddd2d66eeca4a5f3114ad0c19982,96,0.203026062
Q2_001,2,NK-fMGszqd8CSbktNmCj2C6Pj,97,0.202637716
Q2_001,2,Q4768914,98,0.202464389
Q2_001,2,NK-9PkNgtkCDrbi8yCXYewctL,99,0.202330572
Q2_001,2,Q113194042,100,0.202186754
Q2_002,2,NK-223yQP6hRaMuiALDCJ6xbY,1,0.439559750
Q2_002,2,NK-Trj4BXsFr6EpXx3Lz7caop,2,0.283942400
Q2_002,2,NK-oEUbuHZ4cdfm8eUHxq9Vqu,3,0.274986385
Q2_002,2,NK-Yvo7D7Lbn8KUVkE7nktaKM,4,0.257001634
Q2_002,2,NK-3U6JBDmZAu6sbcvFTerQM5,5,0.240487994
Q2_002,2,NK-kVYrTtXvkaaLHjz38pbKni,6,0.240487994
Q2_002,2,NK-V2bEwSfuerZLS9f2jmVAMr,7,0.240487994
Q2_002,2,NK-hBPAnxSkMtT9GUr3TjMXRy,8,0.240487994
Q2_002,2,NK-TBurtn5K2iypzi95SCwZEg,9,0.240487994
Q2_002,2,NK-XVfNTybjZPVtWFBhD3Jg8R,10,0.240487994
Q2_002,2,NK-SW6QJ3xrYqxp5cn7AsHMsK,11,0.235341725
Q2_002,2,NK-7omdiemptB9hMQPxjLHuL5,12,0.235341725
Q2_002,2,NK-egSoZENxY4uV2L7swNxeMW,13,0.235341725
Q2_002,2,sk-po-5517ceefbdece85d7a820a8ca1f07128944832c6,14,0.230128807
Q2_002,2,ua-nsdc-27447-tovaristvo-z-obmezenou-vidpovidalnistu-galiko,15,0.228490460
Q2_002,2,ua-nsdc-27449-tovaristvo-z-obmezenou-vidpovidalnistu-agiros,16,0.228490460
Q2_002,2,ua-nsdc-27450-tovaristvo-z-obmezenou-vidpovidalnistu-raniston,17,0.228490460
Q2_002,2,NK-kDHPZwWQbsfKMqQRSe3aYP,18,0.226446843
Q2_002,2,pl-wanted-e66f93b689aab10606af7914729d24c4722f47d1,19,0.223206553
Q2_002,2,NK-gGPuujuC29qTKQ5tSQeqJo,20,0.223169475
Q2_002,2,NK-8dJVqhpta3FehQQudQDaRs,21,0.215893447
Q2_002,2,NK-MrvBumy6otWC9fmiiqEvyW,22,0.215893447
Q2_002,2,NK-fZ7Vrvz4ud4fyCQKmhWMM6,23,0.215893447
Q2_002,2,NK-QyAZir4aSSHUyroQXmVSue,24,0.215893447
Q2_002,2,NK-iYpr2b3G47qPSoRwU4uGta,25,0.215893447
Q2_002,2,NK-oWjasCbkzHqbVZxCF7sCZc,26,0.215893447
Q2_002,2,NK-cM6rEvSVkUmtLevjxrHTwH,27,0.215893447
Q2_002,2,NK-Rjbi7hMQSSVDY3kfSSUiir,28,0.215893447
Q2_002,2,NK-PYRxAYBMQngPJwsvRsTSiJ,29,0.215893447
Q2_002,2,NK-JEHz6g7byrZCtvgczFui7A,30,0.215893447
Q2_002,2,NK-aWRJ2UoDCWPpqq82Y7yWdh,31,0.215893447
Q2_002,2,NK-Fwv3UAvs9UJmQ55T9zLRcS,32,0.215893447
Q2_002,2,NK-RjiwRPZwZzrrFCnr9dgaau,33,0.215893447
Q2_002,2,NK-HRJScpdTBK5Kys3B77eJ67,34,0.215893447
Q2_002,2,NK-QB4HLAEkoxjV2FgoEW59dq,35,0.215893447
Q2_002,2,NK-JHVSrtDorArSvzMNUTcvF8,36,0.215893447
Q2_002,2,NK-8AkMwDHf3nNAUf9abVsBgR,37,0.215893447
Q2_002,2,NK-8fV7gnEYYdjVDuEAEgnJDR,38,0.215893447
Q2_002,2,NK-CtheA86VK4bLBUSJAcuu6z,39,0.215893447
Q2_002,2,NK-fXtyLNAiFpse9dw7xWDb5M,40,0.215893447
Q2_002,2,NK-XxTNVRygbK9B4VRwVMaNrk,41,0.215893447
Q2_002,2,NK-KVqiRnG8F4FaMozDiUyo6i,42,0.215893447
Q2_002,2,NK-kZCofDx9RoGDrYG8tKmS8D,43,0.215893447
Q2_002,2,NK-9iJYsDpv8ERdU8QD48y6uC,44,0.215893447
Q2_002,2,NK-DaK8AjvwsEAaeUtACFsU7t,45,0.215893447
Q2_002,2,NK-LvpEicdUbW6auiRvwqGUrz,46,0.215893447
Q2_002,2,NK-Drf8e8mMcZCfccXTTvLhRH,47,0.215893447
Q2_002,2,NK-kZebiG8UqTAh3vQibNLxqF,48,0.215893447
Q2_002,2,NK-8MYd4KDwWLs6hFY9tSj2zL,49,0.215893447
Q2_002,2,NK-jTKKqxtBpPXRWKEhSLbp9F,50,0.215893447
Q2_002,2,NK-EY4cYYqKHuuGPHPNZraTqR,51,0.215893447
Q2_002,2,NK-6y6vdtinYBjb5r24vUS6kA,52,0.215893447
Q2_002,2,NK-jhtT6UTHRSRkCCPgBC72ph,53,0.215893447
Q2_002,2,NK-7MWr2Wd9hwFbADrTs8UUrj,54,0.215893447
Q2_002,2,NK-aN5vmuHXzrr9pkoxYbgTPA,55,0.215893447
Q2_002,2,NK-3LPkZM44m4dmJXSYaNVNyH,56,0.215893447
Q2_002,2,NK-NsuFz9Bw2ecxC7EJAAMPfd,57,0.215893447
Q2_002,2,NK-GVgtCM9YzZUqhs8cnzGey8,58,0.215893447
Q2_002,2,NK-BdCUTL98Th66xsFKqweb8T,59,0.215893447
Q2_002,2,NK-iXA9wEfwTaHs4wCEinrhFN,60,0.215893447
Q2_002,2,NK-dcLaocMcdn7P3CRuwZZxY4,61,0.215893447
Q2_002,2,NK-5cbG3Sh54BqoHPZ2ySRGt5,62,0.215893447
Q2_002,2,NK-bd6eHfYSq8Bsr5xWH36mB6,63,0.215893447
Q2_002,2,NK-CFZiQRFVTohWSAsxCee5Df,64,0.215893447
Q2_002,2,NK-HQv4Ny3D8qpePRqE4pdYd6,65,0.215893447
Q2_002,2,NK-ZHhwE9AuQ4oYJw9AnAg2ed,66,0.215893447
Q2_002,2,NK-4nDvVjb5mmDuNvZYn9QJBg,67,0.215893447
Q2_002,2,NK-7wzeufmKVf4N434tati4TW,68,0.215893447
Q2_002,2,NK-byeRSn9sBkJQhKVH3SYUuR,69,0.215893447
Q2_002,2,NK-aDDadn243dHMzBiP8zGXEz,70,0.215893447
Q2_002,2,NK-m7wjCgZpE4LGP3kTLqz9xd,71,0.215893447
Q2_002,2,NK-YnCFRnatALEPFNC6tDewd2,72,0.215893447
Q2_002,2,NK-4Awz3k5hRCWvCsjSR4J7Yq,73,0.215893447
Q2_002,2,NK-8EJT2xMwrt7eDnKJ8FZEFD,74,0.215893447
Q2_002,2,NK-EJYsoU78NEimXSk8cEd5ub,75,0.215893447
Q2_002,2,NK-UqJZ26ZpPN9x4VLkFmRcng,76,0.215893447
Q2_002,2,NK-QUWDahfHGkCAYVDDfnJPE2,77,0.215893447
Q2_002,2,NK-4o9bkfsczvDzxSWU3Uw2cd,78,0.215893447
Q2_002,2,NK-dn37nnsG4ovJzT5JsxzTkM,79,0.215893447
Q2_002,2,NK-LnN6XPzeAFH94ojyZmfJJH,80,0.215893447
Q2_002,2,NK-cJvybVqH7fGsewwV9RxDFv,81,0.215893447
Q2_002,2,NK-4jNTBPucs6ugdKMDeCLqQG,82,0.215893447
Q2_002,2,NK-cXgPYeNACxkBeHzxptmphf,83,0.215893447
Q2_002,2,NK-6gcRkSqrUZHLVg5nPuwK2q,84,0.215893447
Q2_002,2,NK-EYE4buie8ATiFhjfXnQotc,85,0.215893447
Q2_002,2,NK-f8iTgUNsjrJBtsk8FBUffz,86,0.215893447
Q2_002,2,NK-XwvURQkQXiF3pKTuJUDuxf,87,0.215893447
Q2_002,2,NK-EBL7SvNkYR9hrpL52Epnfw,88,0.215893447
Q2_002,2,NK-goPo8e4CGn9hw6ZnszEpmJ,89,0.215893447
Q2_002,2,NK-ek5Sc4X9AXjNuomMhWJwSP,90,0.215893447
Q2_002,2,NK-AKJayAfer7jZNsKPdSuh33,91,0.215893447
Q2_002,2,NK-NvVRotisce9xXNrTCbaF8h,92,0.215893447
Q2_002,2,NK-YUinXz6ajEWmytJUpL8gby,93,0.215893447
Q2_002,2,NK-Ym3cJRKwcbCqnvksBePx7b,94,0.215893447
Q2_002,2,NK-hXxYnipCNyexAes2FxMwfo,95,0.215893447
Q2_002,2,NK-f85rfdx4BASaRFmHVXH2Vy,96,0.215893447
Q2_002,2,NK-WRHn7spKTLCMBGbnu2jFkr,97,0.215893447
Q2_002,2,NK-ApNjFWs6ug9PZ5bHFmVbvs,98,0.215893447
Q2_002,2,NK-3LpBStxdBcedeVkfxYLRaA,99,0.215893447
Q2_002,2,NK-bL8ePpZg5J7NbDukFpLkQo,100,0.215893447
Q2_003,2,us-medpa-8f1fb7af213946df08828acd226ae3b5face7ccb,1,0.511468813
Q2_003,2,us-medpa-cb2048403b004d0e58850b784eb95732d29517bd,2,0.481588466
Q2_003,2,us-medpa-19b8fc1e8d91f335866854b6b3ace12a3890945b,3,0.474539033
Q2_003,2,us-medpa-6ce4fed07ccc7e88b746dc82dc10530ff0198f4f,4,0.468832468
Q2_003,2,us-medpa-96376201c0c951952e373425be147ff1963e5273,5,0.466679775
Q2_003,2,us-medpa-bec54710c1b1633da1fadaeee32b91d013206b50,6,0.465416695
Q2_003,2,us-medpa-612af7f4df5fd4d335425735afe1042ad6f5dbea,7,0.460453910
Q2_003,2,us-medpa-c7d1069e270a25d91f88a336a1f6234202c19e41,8,0.460453910
Q2_003,2,us-medpa-c1f7ac328a84b7a41c548ca8c864469217458b3f,9,0.459382301
Q2_003,2,us-medpa-7b1b65ad8b3f3ffedcd88f91ed126e9790d7898b,10,0.458789678
Q2_003,2,NK-RK5fScHzWnmCPy5C22kgjA,11,0.458119346
Q2_003,2,us-medpa-9ae2cff321a874a29d63db588ac2675519807238,12,0.452569091
